Timestamp, x_f, y_f, yaw_f, x_se, y_se, yaw_se, x_th, y_th, yaw_th, x_fo, y_fo, yaw_fo, x_fi, y_fi, yaw_fi
52.862000000,-9.69981155751,7.19039593568e-05,0.001393314979446538,-9.19967640459,2.95048116555e-05,0.0008065464414658082,2.31331715334e-05,4.00001767629,4.925305938073932e-05,2.31905047804e-05,3.50001770604,4.98892707067744e-05,-9.11057466257e-05,2.99998456613,-0.0014198410046144928
52.872000000,-9.69981144922,7.18687981861e-05,0.0013941872154187805,-9.19967633979,2.95083715073e-05,0.0008072537738308039,2.31564449783e-05,4.00001769314,4.928202537221413e-05,2.32137823916e-05,3.50001772288,4.991853564264478e-05,-9.14519207933e-05,2.99998447742,-0.0014206600372600265
52.882000000,-9.69981135685,7.18411981748e-05,0.0013950318557360121,-9.19967627601,2.95092401092e-05,0.0008079546134033859,2.31774876127e-05,4.00001770856,4.9310471534202696e-05,2.3234827992e-05,3.5000177383,4.994728042702487e-05,-9.1790584798e-05,2.99998439748,-0.0014214612164745652
52.892000000,-9.69981126368,7.18114205243e-05,0.0013958686531910913,-9.19967616876,2.95024510261e-05,0.0008087238004204342,2.31819200704e-05,4.00001771321,4.933740097342316e-05,2.32392641494e-05,3.50001774295,4.9974507309312315e-05,-9.21073009848e-05,2.99998436928,-0.00142243629239991
52.902000000,-9.69981113749,7.17659380564e-05,0.0013967496821052734,-9.19967606332,2.94939611324e-05,0.0008094860441115745,2.31838054025e-05,4.00001771602,4.936384534019829e-05,2.32411524568e-05,3.50001774575,5.0001248721173964e-05,-9.24189825967e-05,2.99998433529,-0.0014234014112219928
52.912000000,-9.6998110115,7.17207180825e-05,0.001397622431272437,-9.19967596198,2.94788572179e-05,0.000810204708522296,2.32070787527e-05,4.00001773287,4.9392812699415364e-05,2.32644299734e-05,3.5000177626,5.003051504308655e-05,-9.27140316333e-05,2.99998433249,-0.001424347627835525
52.923000000,-9.69981090092,7.16832169995e-05,0.0013984677825030504,-9.19967586164,2.94610551115e-05,0.0008109167935973867,2.32281212775e-05,4.00001774829,4.942126022577651e-05,2.32854754642e-05,3.50001777802,5.005926121009696e-05,-9.30010207606e-05,2.99998433256,-0.0014252779993125058
52.933000000,-9.69981078952,7.16435493225e-05,0.0013993052936528926,-9.19967571779,2.9435572994e-05,0.0008116957094446288,2.32325539155e-05,4.00001775294,4.944819103325174e-05,2.32899118019e-05,3.50001778267,5.00864894787628e-05,-9.32627358886e-05,2.99998429484,-0.0014263700640792557
52.943000000,-9.6998106456,7.15878394802e-05,0.0014001866799419887,-9.19967557574,2.94083838695e-05,0.0008124676088259887,2.32344394237e-05,4.00001775575,4.9474636764247194e-05,2.32918002855e-05,3.50001778547,5.011323227291444e-05,-9.35188170358e-05,2.99998426124,-0.0014274445707887758
52.953000000,-9.69981050163,7.15326570958e-05,0.0014010599186877859,-9.19967543779,2.93745722212e-05,0.0008131946263175606,2.32577126791e-05,4.0000177726,4.9503605491339586e-05,2.33150777073e-05,3.50001780231,5.0142499980957666e-05,-9.37195403983e-05,2.99998423813,-0.0014283994380197035
52.964000000,-9.6998103727,7.14854236664e-05,0.0014019059558516944,-9.19967530082,2.93380563661e-05,0.0008139150034925023,2.32787550944e-05,4.00001778802,4.9532054382218116e-05,2.33361230886e-05,3.50001781773,5.017124753068488e-05,-9.39184109872e-05,2.99998421478,-0.0014293370614751545
52.974000000,-9.69981024296,7.14360367277e-05,0.0014027441565228765,-9.19967512031,2.92938421561e-05,0.0008147011268289508,2.32831879127e-05,4.00001779267,4.955898655811829e-05,2.33405596066e-05,3.50001782238,5.0198477185829516e-05,-9.41186857666e-05,2.99998415951,-0.0014304241417405106
52.984000000,-9.69981008043,7.13708866184e-05,0.0014036263109799127,-9.19967494158,2.92479158454e-05,0.0008154801831450588,2.32850735969e-05,4.00001779548,4.9585433653497565e-05,2.33424482663e-05,3.50001782518,5.0225221362371705e-05,-9.43163975603e-05,2.99998410689,-0.0014314934565209107
52.994000000,-9.69980991789,7.13062308888e-05,0.001404500310587028,-9.19967476695,2.91953617798e-05,0.0008162134421472637,2.33083467576e-05,4.00001781233,4.961440374862985e-05,2.33657255934e-05,3.50001784203,5.025449045665061e-05,-9.45098974047e-05,2.99998406385,-0.0014324819161187332
53.4000000,-9.69980977052,7.12493716494e-05,0.0014053472601444265,-9.19967459329,2.91400987154e-05,0.0008169400196044378,2.33293890634e-05,4.00001782775,4.964285400417338e-05,2.33867708651e-05,3.50001785745,5.028323938919541e-05,-9.47001758602e-05,2.99998402142,-0.0014334537584104231
53.14000000,-9.69980962233,7.11903651143e-05,0.0014061863756246985,-9.19967437606,2.90771211333e-05,0.0008177315869861376,2.33338220619e-05,4.0000178324,4.9669787548620476e-05,2.33912075635e-05,3.5000178621,5.0310470430955466e-05,-9.4880045822e-05,2.99998396214,-0.001434585977484084
53.25000000,-9.69980945345,7.11185536998e-05,0.0014070852602194948,-9.19967416061,2.90124275943e-05,0.0008185160539887848,2.33357079222e-05,4.00001783521,4.969623600851184e-05,2.33930963994e-05,3.5000178649,5.033721599002739e-05,-9.50569255637e-05,2.99998390585,-0.0014357008863023503
53.35000000,-9.69980928418,7.10454859711e-05,0.001407975972231836,-9.19967394925,2.8941103102e-05,0.0008192540982226128,2.33589809882e-05,4.00001785206,4.972520747179344e-05,2.34163736317e-05,3.50001788174,5.0366486470647834e-05,-9.52315646432e-05,2.9999838629,-0.0014367547298703791
