Timestamp, x_f, y_f, yaw_f, x_se, y_se, yaw_se, x_th, y_th, yaw_th, x_fo, y_fo, yaw_fo, x_fi, y_fi, yaw_fi
71.49000000,-9.80007393923,-2.58029216138e-05,-0.0025731411869587247,-9.19999471851,-7.25357276685e-05,-0.0018541563406841734,-8.79985680207,-4.28131414806e-05,0.002785131415602575,2.14463597614e-05,3.50001514273,-9.267676808494912e-06,0.000265915100181,3.00003368062,-0.0023584926679517276
71.104000000,-9.80007775127,-2.92545834993e-05,-0.002663943543350979,-9.19999475734,-7.58171321821e-05,-0.001921243953931035,-8.7998530464,-4.38285021474e-05,0.0028818123021065443,2.18939065681e-05,3.50001565293,-9.471792639287522e-06,0.000264853239984,3.00002324094,-0.0025065130299926253
71.160000000,-9.80007787016,-3.07132876995e-05,-0.0027604533740228678,-9.19999393705,-7.78031182502e-05,-0.001989278395733182,-8.79986168151,-3.86221526351e-05,0.0029839348345805415,2.23722895976e-05,3.50001619654,-9.68645055130715e-06,0.000269571256298,3.00003014001,-0.002570564355154995
71.211000000,-9.80008123034,-3.35477124849e-05,-0.002850554602673922,-9.1999938168,-8.08559675312e-05,-0.002052395119533725,-8.79986422741,-3.67142135055e-05,0.003078043636095457,2.28131676095e-05,3.50001669592,-9.881161653157988e-06,0.000269582251636,3.00003550238,-0.002526276695751811
71.263000000,-9.80008375671,-3.62569332888e-05,-0.0029383717557644276,-9.19999416434,-8.34427551795e-05,-0.0021146296075400675,-8.79986128008,-3.78449249821e-05,0.003175037336089814,2.32574002252e-05,3.50001720064,-1.007536374807675e-05,0.000273345394209,3.00003909966,-0.0025043033653290026
71.324000000,-9.80008270375,-3.69991481568e-05,-0.0030455890180664086,-9.19999239479,-8.55878101838e-05,-0.0021909716581117087,-8.79987082117,-3.15168518123e-05,0.003282410010142321,2.37699885631e-05,3.50001778297,-1.0296334689514914e-05,0.000271734740647,3.00004043389,-0.0025032933691381703
71.378000000,-9.79956274741,-3.88207706397e-05,-0.0032001992020899233,-9.19999156097,-8.93690346942e-05,-0.0023379404729531135,-8.79987668792,-2.77228067575e-05,0.0033837605377893673,2.42344204586e-05,3.50001831222,-1.0494227000339348e-05,0.000263486406627,3.00003772327,-0.002503384057919752
71.436000000,-9.79156958281,-0.000147872303337,-0.004626350595815746,-9.19999240018,-9.4755628371e-05,-0.0028602650108580717,-8.79988822884,-3.04954560078e-05,0.0031819242881723072,2.4726855251e-05,3.50001886988,-1.07000179744965e-05,0.000245354378509,3.00003288089,-0.002487121248236623
71.487000000,-9.77802546826,-0.000344002125146,-0.0052331212344668785,-9.19863836744,-0.000110964888262,-0.0030622096359688663,-8.79988285908,-3.77660374827e-05,0.0025476315942648082,2.5175728032e-05,3.50001938342,-1.0886994626740153e-05,0.000243881344525,3.00003515221,-0.0025390775631278176
71.539000000,-9.76171215595,-0.000168908599921,-0.005359301621101274,-9.19311340037,-0.000134556042274,-0.002825457998142094,-8.79989222838,-3.55519162738e-05,0.0021422875070729575,2.56014193508e-05,3.50001986479,-1.1059543927587308e-05,0.000243723623097,3.00004089298,-0.0025503663829352847
71.591000000,-9.73890596885,-0.000488813922778,-0.007779738686428155,-9.18676320526,-6.08547423689e-05,-0.003025715717700686,-8.79993544721,-3.50301690118e-05,0.0021846702515019387,2.60597101656e-05,3.50002038353,-1.1243561144915625e-05,0.000241089557004,3.00004327271,-0.002508967982018584
71.643000000,-9.71405685147,-0.000442639500222,-0.008736404952579229,-9.18046855789,-0.000337461626506,-0.003463005786250957,-8.79664638278,-7.21940591783e-05,0.003235100611787545,2.65040149011e-05,3.50002088802,-1.141998581474715e-05,0.000233219011366,3.00004449268,-0.0024543067699733592
71.695000000,-9.68936435104,-0.000618009106906,-0.008589938704541913,-9.17446306643,-0.000102453866435,-0.003908467243043069,-8.78763912651,0.000295377268783,0.0056526071947549696,2.69483295272e-05,3.50002139248,-1.1594067935573538e-05,0.000226055489416,3.00004851242,-0.002423273848880517
71.750000000,-9.66246445673,-0.000881561055076,-0.00543651298627265,-9.16804547558,-0.000160385439507,-0.0044739023521764235,-8.77418362536,0.000168945135282,0.006713904514602069,2.74128369943e-05,3.50002192149,-1.1773900021168626e-05,0.000219593571352,3.00005231194,-0.002387035627565671
71.804000000,-9.63625577584,-0.0012949040713,0.0005615036305248812,-9.16180858661,-0.000506961579731,-0.005463175165732159,-8.75752549999,0.000161073958517,0.008229113138688914,2.7874516527e-05,3.50002244547,-1.1949670641728244e-05,0.00021366047655,3.0000560794,-0.0023521515587406156
71.856000000,-9.61066113228,-0.00138533724525,0.0083376856747793,-9.15530453854,-0.000362615288559,-0.006435503670927026,-8.74071418716,0.000763307409038,0.009768284152748908,2.83188618883e-05,3.50002294984,-1.2116632731484346e-05,0.000207772035245,3.00005999336,-0.0023176088982649373
71.909000000,-9.58664517924,-0.000742647818773,0.018379151555538042,-9.14891914046,-0.000378040244395,-0.007592766498954626,-8.7229829149,0.000838778142589,0.010818658648056244,2.87644699888e-05,3.50002345776,-1.2282656234782537e-05,0.000198488581944,3.00005917664,-0.002297855838368935
71.961000000,-9.56183972211,0.000231471823948,0.03006289079807605,-9.14313519649,-0.000311948662192,-0.00860429239609439,-8.70661457847,0.00103116096332,0.010852830405084158,2.92088353769e-05,3.50002396207,-1.2445081016532342e-05,0.000192437807891,3.00005650656,-0.0023636788527290234
