Timestamp, x, y, yaw
10. 555000000, -9.69998576204, 1.07549179789e-05, 2.1516506454069633e-05
10. 565000000, -9.69998574322, 1.07694025949e-05, 2.1537170295093884e-05
10. 575000000, -9.69998573745, 1.07750773628e-05, 2.1557070516846157e-05
10. 585000000, -9.69998573413, 1.07789094212e-05, 2.1576532208799666e-05
10. 595000000, -9.69998571318, 1.07948799565e-05, 2.1597658474583744e-05
10. 606000000, -9.69998569436, 1.08093644909e-05, 2.1618322150674167e-05
10. 617000000, -9.6999856886, 1.0815039356e-05, 2.1638222175117756e-05
10. 628000000, -9.69998568528, 1.08188715117e-05, 2.1657683665283015e-05
10. 638000000, -9.69998566433, 1.08348419719e-05, 2.1678809771023607e-05
10. 648000000, -9.69998564551, 1.08493264246e-05, 2.16994732820154e-05
10. 658000000, -9.69998563975, 1.08550013869e-05, 2.1719373108803158e-05
10. 668000000, -9.69998563643, 1.085883364e-05, 2.1738834396793122e-05
10. 678000000, -9.69998561548, 1.08748040249e-05, 2.1759960342862392e-05
10. 688000000, -9.69998559666, 1.0889288396e-05, 2.1780623689055403e-05
10. 698000000, -9.6999855909, 1.08949634555e-05, 2.1800523318410776e-05
10. 708000000, -9.69998558758, 1.08987958059e-05, 2.181998440449671e-05
10. 719000000, -9.69998556663, 1.09147661155e-05, 2.1841110190953922e-05
10. 729000000, -9.69998554781, 1.0929250405e-05, 2.1861773372381177e-05
10. 740000000, -9.69998554205, 1.09349255617e-05, 2.1881672804762064e-05
10. 750000000, -9.69998553872, 1.09387580094e-05, 2.190113368935753e-05
10. 760000000, -9.69998551778, 1.09547282439e-05, 2.1922259316186577e-05
10. 770000000, -9.69998549896, 1.09692124516e-05, 2.194292233289326e-05
10. 780000000, -9.69998549319, 1.09748877055e-05, 2.1962821568024323e-05
10. 790000000, -9.69998548987, 1.09787202507e-05, 2.1982282250850456e-05
10. 800000000, -9.69998546892, 1.09946904098e-05, 2.2003407717800276e-05
10. 810000000, -9.6999854501, 1.1009174536e-05, 2.2024070569520843e-05
10. 821000000, -9.69998544434, 1.1014849887e-05, 2.204396960665173e-05
10. 831000000, -9.69998544102, 1.10186825295e-05, 2.206343008701999e-05
10. 841000000, -9.69998542007, 1.10346526134e-05, 2.208455539395351e-05
10. 851000000, -9.69998540125, 1.10491366579e-05, 2.2105218080571525e-05
10. 861000000, -9.69998539549, 1.10548121061e-05, 2.2125116920896283e-05
10. 871000000, -9.69998539217, 1.10586448459e-05, 2.21445771999252e-05
10. 881000000, -9.69998537122, 1.10746148546e-05, 2.2165702347805324e-05
10. 891000000, -9.6999853524, 1.10890988174e-05, 2.2186364870273773e-05
10. 901000000, -9.69998534664, 1.10947743629e-05, 2.2206263513588395e-05
10. 912000000, -9.69998534331, 1.10986072e-05, 2.222572359114985e-05
10. 922000000, -9.69998532236, 1.11145771334e-05, 2.224684857988083e-05
10. 932000000, -9.69998530355, 1.11290610146e-05, 2.2267510938068793e-05
10. 942000000, -9.69998529778, 1.11347366572e-05, 2.2287409384693122e-05
10. 953000000, -9.69998529446, 1.11385695917e-05, 2.2306869261064485e-05
10. 963000000, -9.69998527351, 1.11545394499e-05, 2.2327994090313947e-05
10. 973000000, -9.69998525469, 1.11690232494e-05, 2.2348656283926675e-05
10. 983000000, -9.69998524893, 1.11746989892e-05, 2.23685545332143e-05
10. 993000000, -9.69998524561, 1.1178532021e-05, 2.2388014207760636e-05
