Timestamp, x_f, y_f, yaw_f, x_se, y_se, yaw_se, x_th, y_th, yaw_th, x_fo, y_fo, yaw_fo, x_fi, y_fi, yaw_fi
9.355000000,0.000109580583788,8.86078936336e-05,0.00017862459740824007,-8.79989208903,8.72471533274e-05,0.00017588705553140852,-9.09989140156,8.7807454775e-05,0.00017701426769615837,-9.39988890661,8.98387117278e-05,0.00018108170029470678,-9.69988654906,9.1759830615e-05,0.00018494679028635327
9.356000000,0.000109601408497,8.86237154674e-05,0.00017864560397192554,-8.7998920682,8.72629777989e-05,0.00017590806078842823,-9.09989138073,8.78232781606e-05,0.00017703527347624518,-9.39988890058,8.98445728608e-05,0.00018110141233961327,-9.69988654302,9.17656961269e-05,0.0001849665029682368
9.356000000,0.000109620080732,8.86380402451e-05,0.00017866613829358287,-8.79989204953,8.7277305383e-05,0.0001759285939677663,-9.09989136206,8.78376045892e-05,0.00017705580711097337,-9.39988889699,8.9848592835e-05,0.0001811206771681725,-9.69988653943,9.17697205487e-05,0.00018498576822700364
9.357000000,0.00010962610946,8.86438986376e-05,0.00017868585006935748,-8.7998920435,8.72831606665e-05,0.00017594830555869243,-9.09989135603,8.78434611533e-05,0.00017707551876287037,-9.39988887617,8.98644122625e-05,0.00018114168503214153,-9.69988651861,9.17855362482e-05,0.00018500677830935513
9.358000000,0.000109629692357,8.86479158292e-05,0.0001787051147581359,-8.79989203992,8.72871747019e-05,0.0001759675702092514,-9.09989135245,8.78474764886e-05,0.00017709478341403106,-9.3998888575,8.98787344809e-05,0.00018116222050435662,-9.69988649994,9.1799854503e-05,0.0001850273157683629
9.360000000,0.000109650517002,8.86637375854e-05,0.0001787261213621551,-8.7998920191,8.73029990959e-05,0.0001759885755030032,-9.09989133163,8.78632997966e-05,0.00017711578923284307,-9.39988885146,8.98845957052e-05,0.00018118193255980866,-9.6998864939,9.18057201061e-05,0.0001850470284665051
9.361000000,0.000109669189162,8.86780622805e-05,0.00017874665571931421,-8.79989200042,8.73173265974e-05,0.00017600910871424393,-9.09989131295,8.78776261427e-05,0.00017713632290144692,-9.39988884788,8.98886157721e-05,0.00018120119739460346,-9.69988649031,9.18097446205e-05,0.00018506629373717557
9.362000000,0.000109675218028,8.86839207645e-05,0.00017876636750246695,-8.7998919944,8.73231819724e-05,0.00017602882030878835,-9.09989130693,8.78834827982e-05,0.00017715603455907173,-9.39988882705,8.9904435122e-05,0.00018122220530199316,-9.69988646949,9.18255602423e-05,0.00018508730386824717
9.363000000,0.00010967880106,8.86879380488e-05,0.00017878563219431148,-8.79989199082,8.73271961007e-05,0.00017604808495871288,-9.09989130335,8.78874982264e-05,0.00017717529921163988,-9.39988880838,8.99187572579e-05,0.0001812427408128045,-9.69988645082,9.18398784145e-05,0.0001851078413711326
9.364000000,0.000109699625642,8.87037597274e-05,0.0001788066388387687,-8.79989196999,8.73430204171e-05,0.000176069090289481,-9.09989128252,8.79033214568e-05,0.0001771963050686524,-9.39988880235,8.99246185734e-05,0.00018126245287846798,-9.69988644478,9.18457441087e-05,0.00018512755408518582
9.364000000,0.000109718297726,8.871808434e-05,0.0001788271732315349,-8.79989195132,8.73573478361e-05,0.00017608962353290444,-9.09989126385,8.79176477204e-05,0.00017721683877062032,-9.39988879876,8.9928638733e-05,0.00018128171771919187,-9.69988644119,9.18497687157e-05,0.00018514681936746674
9.366000000,0.00010972432673,8.87239429153e-05,0.0001788468850221755,-8.79989194529,8.73632033026e-05,0.00017610933513130024,-9.09989125782,8.79235044674e-05,0.00017723655043290197,-9.39988877794,8.99444580053e-05,0.00018130272566980603,-9.69988642037,9.18655842598e-05,0.00018516782954762428
9.367000000,0.000109727909895,8.87279602925e-05,0.00017886614971719577,-8.79989194172,8.73672175237e-05,0.00017612859978074726,-9.09989125424,8.79275199884e-05,0.0001772558150858267,-9.39988875927,8.99587800585e-05,0.00018132326121904084,-9.69988640171,9.18799023494e-05,0.0001851883670947942
9.368000000,0.000109748734414,8.87437818935e-05,0.00017888715640219615,-8.79989192089,8.73830417625e-05,0.00017614960514837183,-9.09989123342,8.79433431412e-05,0.00017727682098083787,-9.39988875324,8.99646414654e-05,0.00018134297329541039,-9.69988639567,9.18857681348e-05,0.00018520807982489262
9.368000000,0.000109767406423,8.87581064235e-05,0.0001789076908306741,-8.79989190221,8.7397369099e-05,0.00017617013842378658,-9.09989121474,8.79576693222e-05,0.00017729735471597071,-9.39988874965,8.99686617176e-05,0.000181362238142522,-9.69988639207,9.18897928344e-05,0.00018522734511892925
9.371000000,0.000109773435564,8.87639650902e-05,0.00017892740262891182,-8.79989189619,8.7403224657e-05,0.00017618985002633135,-9.09989120872,8.79635261606e-05,0.00017731706638347163,-9.39988872883,8.99844809123e-05,0.00018138324613741502,-9.69988637125,9.19056083008e-05,0.00018524835534772135
9.376000000,0.000109777018864,8.87679825602e-05,0.00017894666732721712,-8.79989189261,8.7407238971e-05,0.00017620911467555562,-9.09989120514,8.79675417745e-05,0.00017733633103731675,-9.39988871016,8.9998802883e-05,0.0001814037817260853,-9.69988635259,9.19199263078e-05,0.00018526889293868834
9.376000000,0.000109797843319,8.87838040835e-05,0.00017896767405287014,-8.79989187178,8.74230631323e-05,0.0001762301200801885,-9.09989118431,8.79833648497e-05,0.00017735733697074078,-9.39988870412,9.00046643811e-05,0.00018142349381395303,-9.69988634655,9.19257921843e-05,0.0001852886056847905
