Timestamp, x, y, yaw
10. 721000000, -9.09998148352, 1.42557514686e-05, 2.8634039149150085e-05
10. 731000000, -9.09998146258, 1.42717154533e-05, 2.8655151860008302e-05
10. 742000000, -9.09998144376, 1.42861928829e-05, 2.8675801537670775e-05
10. 752000000, -9.09998143799, 1.42918761929e-05, 2.8695684744556956e-05
10. 762000000, -9.09998143466, 1.42957168101e-05, 2.8715129026732023e-05
10. 772000000, -9.09998141371, 1.43116807195e-05, 2.873624158617852e-05
10. 782000000, -9.0999813949, 1.43261580674e-05, 2.8756891107395674e-05
10. 792000000, -9.09998138913, 1.43318414743e-05, 2.877677412543916e-05
10. 802000000, -9.09998138579, 1.43356821887e-05, 2.8796218214310005e-05
10. 812000000, -9.09998136485, 1.43516460227e-05, 2.8817330622381315e-05
10. 822000000, -9.09998134604, 1.43661232889e-05, 2.883797998712642e-05
10. 832000000, -9.09998134026, 1.43718067928e-05, 2.8857862816254785e-05
10. 842000000, -9.09998133693, 1.43756476043e-05, 2.8877306711724776e-05
10. 852000000, -9.09998131599, 1.4391611363e-05, 2.889841896859794e-05
10. 862000000, -9.09998129717, 1.44060885475e-05, 2.8919068177025717e-05
10. 872000000, -9.0999812914, 1.44117721483e-05, 2.8938950817535606e-05
10. 882000000, -9.09998128807, 1.4415613057e-05, 2.8958394519907824e-05
10. 892000000, -9.09998126712, 1.44315767403e-05, 2.897950662531971e-05
10. 902000000, -9.09998124831, 1.44460538431e-05, 2.9000155677223303e-05
10. 912000000, -9.09998124253, 1.44517375409e-05, 2.902003812905465e-05
10. 923000000, -9.0999812392, 1.44555785467e-05, 2.903948163825269e-05
10. 933000000, -9.09998121826, 1.44715421547e-05, 2.9060593592333428e-05
10. 943000000, -9.09998119944, 1.44860191758e-05, 2.9081242487794677e-05
10. 953000000, -9.09998119367, 1.44917029705e-05, 2.910112475090794e-05
10. 963000000, -9.09998119034, 1.44955440734e-05, 2.9120568066913254e-05
10. 973000000, -9.09998116939, 1.4511507606e-05, 2.9141679869969846e-05
10. 983000000, -9.09998115058, 1.45259845455e-05, 2.916232860932119e-05
10. 993000000, -9.09998114481, 1.45316684371e-05, 2.9182210683908334e-05
11. 3000000, -9.09998114147, 1.45355096372e-05, 2.9201653806904426e-05
11. 13000000, -9.09998112053, 1.45514730944e-05, 2.92227654590351e-05
11. 23000000, -9.09998110172, 1.45659499522e-05, 2.924341404239406e-05
11. 33000000, -9.09998109594, 1.45716339407e-05, 2.9263295928790673e-05
11. 43000000, -9.09998109261, 1.4575475238e-05, 2.928273885911893e-05
11. 54000000, -9.09998107167, 1.45914386199e-05, 2.930385036081346e-05
11. 65000000, -9.09998105285, 1.46059153959e-05, 2.9324498788617216e-05
11. 75000000, -9.09998104708, 1.46115994814e-05, 2.934438048735342e-05
11. 85000000, -9.09998104374, 1.46154408758e-05, 2.9363823225528127e-05
11. 95000000, -9.0999810228, 1.46314041823e-05, 2.938493457661552e-05
11. 105000000, -9.09998100399, 1.46458808767e-05, 2.940558284876596e-05
11. 115000000, -9.09998099821, 1.46515650591e-05, 2.942546435959573e-05
11. 125000000, -9.09998099488, 1.46554065506e-05, 2.944490690537533e-05
11. 135000000, -9.09998097394, 1.46713697818e-05, 2.946601810561034e-05
11. 145000000, -9.09998095512, 1.46858463945e-05, 2.9486666221810577e-05
11. 155000000, -9.09998094935, 1.46915306738e-05, 2.9506547544244213e-05
11. 165000000, -9.09998094602, 1.46953722624e-05, 2.952598989712261e-05
11. 176000000, -9.09998092507, 1.47113354183e-05, 2.9547100946948673e-05
11. 187000000, -9.09998090626, 1.47258119493e-05, 2.9567748907606905e-05
11. 197000000, -9.09998090048, 1.47314963254e-05, 2.958763004227539e-05
11. 207000000, -9.09998089715, 1.47353380112e-05, 2.9607072202931815e-05
11. 217000000, -9.09998087621, 1.47513010917e-05, 2.9628183102389453e-05
11. 227000000, -9.09998085739, 1.4765777541e-05, 2.9648830907606406e-05
11. 237000000, -9.09998085162, 1.47714620141e-05, 2.9668711854442916e-05
11. 247000000, -9.09998084829, 1.4775303797e-05, 2.9688153822804637e-05
11. 257000000, -9.09998082734, 1.47912668022e-05, 2.9709264571575358e-05
11. 267000000, -9.09998080853, 1.48057431698e-05, 2.972991222106763e-05
11. 278000000, -9.09998080275, 1.48114277397e-05, 2.974979297992841e-05
11. 289000000, -9.09998079942, 1.48152696198e-05, 2.9769234755806827e-05
11. 300000000, -9.09998077848, 1.48312325496e-05, 2.9790345354617667e-05
11. 310000000, -9.09998075967, 1.48457088355e-05, 2.9810992849043855e-05
11. 320000000, -9.09998075389, 1.48513935024e-05, 2.9830873420797246e-05
11. 330000000, -9.09998075055, 1.48552354795e-05, 2.9850315005117054e-05
11. 340000000, -9.09998072961, 1.48711983339e-05, 2.9871425454265154e-05
11. 350000000, -9.0999807108, 1.48856745382e-05, 2.9892072793884924e-05
11. 360000000, -9.09998070502, 1.4891359302e-05, 2.9911953178280543e-05
11. 370000000, -9.09998070169, 1.48952013763e-05, 2.9931394570733527e-05
11. 380000000, -9.09998068075, 1.49111641553e-05, 2.9952504869577284e-05
11. 390000000, -9.09998066193, 1.49256402778e-05, 2.9973152053847316e-05
11. 400000000, -9.09998065616, 1.49313251385e-05, 2.999303225088431e-05
11. 410000000, -9.09998065282, 1.493516731e-05, 3.0012473451514464e-05
11. 420000000, -9.09998063188, 1.49511300136e-05, 3.0033583600790925e-05
11. 430000000, -9.09998061307, 1.49656060545e-05, 3.005423063039841e-05
11. 440000000, -9.09998060729, 1.49712910121e-05, 3.007411064049027e-05
11. 450000000, -9.09998060396, 1.49751332806e-05, 3.009355164966214e-05
11. 460000000, -9.09998058302, 1.49910959089e-05, 3.011466164912919e-05
11. 470000000, -9.0999805642, 1.50055718681e-05, 3.013530852384977e-05
11. 481000000, -9.09998055843, 1.50112569226e-05, 3.0155188346500687e-05
11. 491000000, -9.09998055509, 1.50150992882e-05, 3.017462916376636e-05
11. 501000000, -9.09998053415, 1.50310618412e-05, 3.019573901323461e-05
11. 511000000, -9.09998051534, 1.50455377186e-05, 3.0216385732891185e-05
11. 521000000, -9.09998050956, 1.505122287e-05, 3.0236265368222015e-05
11. 532000000, -9.09998050623, 1.50550653328e-05, 3.0255705993710972e-05
11. 542000000, -9.09998048528, 1.50710278103e-05, 3.027681569360234e-05
