Timestamp, x, y, yaw
10. 903000000, -9.09997537793, 1.92478515591e-05, 3.8745630073868414e-05
10. 913000000, -9.09997537458, 1.92517042061e-05, 3.876505115267172e-05
10. 923000000, -9.09997535365, 1.92676587632e-05, 3.878614569280214e-05
10. 933000000, -9.09997533484, 1.92821259786e-05, 3.880677656475925e-05
10. 943000000, -9.09997532905, 1.92878213832e-05, 3.8826636947015826e-05
10. 953000000, -9.0999753257, 1.9291674127e-05, 3.8846057845118276e-05
10. 963000000, -9.09997530477, 1.93076286087e-05, 3.886715224584761e-05
10. 973000000, -9.09997528596, 1.93220957423e-05, 3.888778297331984e-05
10. 983000000, -9.09997528017, 1.93277912435e-05, 3.890764317879019e-05
10. 993000000, -9.09997527682, 1.93316440842e-05, 3.892706389564952e-05
11. 3000000, -9.09997525589, 1.93475984903e-05, 3.894815815673473e-05
11. 13000000, -9.09997523709, 1.93620655422e-05, 3.896878873949221e-05
11. 23000000, -9.09997523129, 1.93677611399e-05, 3.898864876853524e-05
11. 33000000, -9.09997522794, 1.93716140775e-05, 3.900806930453254e-05
11. 43000000, -9.09997520701, 1.93875684081e-05, 3.902916342676417e-05
11. 53000000, -9.09997518821, 1.94020353783e-05, 3.904979386561443e-05
11. 63000000, -9.09997518241, 1.94077310726e-05, 3.906965371891378e-05
11. 73000000, -9.09997517906, 1.9411584107e-05, 3.908907407466967e-05
11. 83000000, -9.09997515813, 1.94275383621e-05, 3.911016805825072e-05
11. 94000000, -9.09997513933, 1.94420052505e-05, 3.9130798353390524e-05
11. 104000000, -9.09997513353, 1.94477010414e-05, 3.915065803101438e-05
11. 115000000, -9.09997513018, 1.94515541727e-05, 3.917007820666499e-05
11. 125000000, -9.09997510925, 1.94675083523e-05, 3.919117205186944e-05
11. 135000000, -9.09997509045, 1.9481975159e-05, 3.921180220353033e-05
11. 145000000, -9.09997508465, 1.94876710464e-05, 3.9231661705382454e-05
11. 155000000, -9.0999750813, 1.94915242746e-05, 3.92510817007691e-05
11. 165000000, -9.09997506037, 1.95074783787e-05, 3.9272175407137585e-05
11. 175000000, -9.09997504156, 1.95219451036e-05, 3.9292805414918464e-05
11. 185000000, -9.09997503577, 1.95276410876e-05, 3.9312664741304684e-05
11. 195000000, -9.09997503242, 1.95314944126e-05, 3.933208455675606e-05
11. 205000000, -9.09997501149, 1.95474484413e-05, 3.935317812531196e-05
11. 215000000, -9.09997499268, 1.95619150845e-05, 3.937380799017213e-05
11. 225000000, -9.09997498689, 1.9567611165e-05, 3.939366714133829e-05
11. 235000000, -9.09997498354, 1.95714645869e-05, 3.9413086777111975e-05
11. 245000000, -9.09997496261, 1.958741854e-05, 3.9434180207215946e-05
11. 255000000, -9.0999749438, 1.96018851015e-05, 3.945480992857848e-05
11. 265000000, -9.09997493801, 1.96075812785e-05, 3.9474668904039595e-05
11. 275000000, -9.09997493466, 1.96114347973e-05, 3.949408835958235e-05
11. 285000000, -9.09997491373, 1.96273886749e-05, 3.951518165090236e-05
11. 295000000, -9.09997489492, 1.96418551546e-05, 3.9535811228422545e-05
11. 305000000, -9.09997488913, 1.96475514282e-05, 3.95556700280992e-05
11. 315000000, -9.09997488578, 1.96514050438e-05, 3.9575089303418616e-05
11. 326000000, -9.09997486485, 1.96673588459e-05, 3.959618245568956e-05
11. 336000000, -9.09997484604, 1.96818252438e-05, 3.961681188908049e-05
