Timestamp, x_f, y_f, yaw_f, x_se, y_se, yaw_se, x_th, y_th, yaw_th, x_fo, y_fo, yaw_fo, x_fi, y_fi, yaw_fi
143.340000000,-9.70125882464,-0.000126569705108,-0.00543244007693793,-9.20002006202,5.43195203101e-06,-0.0022227387147827913,2.29626708192e-05,4.00001263569,0.00015184545034324176,2.44311280373e-05,3.50001366242,0.00016140532319641792,0.000169127431049,2.99995972548,0.002269350462053919
143.396000000,-9.70126828931,-0.000121478704332,-0.005384651260821032,-9.20002036288,4.09728963931e-06,-0.002297271744300465,2.36716666424e-05,4.00001311814,0.00015678096581949057,2.5139960162e-05,3.5000141451,0.00016631991995701704,0.000164105096522,2.99996235853,0.00234576527381779
143.449000000,-9.70126849024,-0.000121159150575,-0.005316320224898809,-9.20002417478,6.28812288652e-07,-0.0023698771171909816,2.43857502669e-05,4.00001360559,0.00016190399546448707,2.58982693203e-05,3.50001465985,0.0001714313991765362,0.000166341541363,2.99996193572,0.002422213821740082
143.500000000,-9.7012746914,-0.000119318972575,-0.0052725892970394515,-9.20002548425,-1.31738130344e-06,-0.0024410687645042926,2.51208208552e-05,4.00001410461,0.00016694285599512139,2.66110863819e-05,3.50001514581,0.00017644382232518844,0.000161229768274,2.99996455745,0.0024983094809677316
143.550000000,-9.70127783955,-0.000116625057683,-0.005205757560770225,-9.2000242472,-1.8998851336e-06,-0.0025122773241002708,2.58027502302e-05,4.00001456868,0.00017169617577619516,2.72926215624e-05,3.50001560966,0.00018117711893543139,0.000163107947739,2.99996437603,0.002569277019343914
143.606000000,-9.70126237987,-0.000121552888314,-0.005839176433012212,-9.1971335469,-5.86332115154e-05,-0.0032063166290142993,2.65390221982e-05,4.00001506939,0.00017683257122269672,2.80289511282e-05,3.50001611106,0.00018629172718873308,0.000157830888216,2.99996704016,0.002646824709321304
143.658000000,-9.70130000543,-0.000114359137074,-0.006122666205810704,-9.18725916575,-0.000224788003719,-0.0036745809734134633,2.72481660617e-05,4.00001555175,0.00018178136803491559,2.87379267169e-05,3.50001659366,0.00019121962387533585,0.000159289788169,2.99996696649,0.0027202863064532926
143.709000000,-9.70129809779,-0.000116582369242,-0.005965745149292392,-9.17262235695,1.3071833161e-05,-0.0025256367755560226,2.79313337421e-05,4.0000160175,0.0001866345915897547,2.94429887061e-05,3.50001707292,0.00019605748579579066,0.000154401976613,2.99996953971,0.0027939742630962417
143.764000000,-9.70130305906,-0.000110121443375,-0.006078721770274494,-9.15339100885,-0.00032762952001,-0.0026316943662801047,2.86939336607e-05,4.0000165352,0.00019187739303777864,3.01831194881e-05,3.50001757714,0.00020127313496877988,0.000155053925709,2.9999696465,0.0028706579649652904
143.818000000,-9.69770028166,-0.000118461876109,-0.0065028667067759316,-9.13090350063,-0.000182216372266,-0.0012913570030265364,2.94303277993e-05,4.00001703584,0.00019702490699866944,3.09195707842e-05,3.50001807847,0.00020639887598355585,0.00014474408296,2.99997509193,0.0029472804530070594
143.872000000,-9.68684669365,-0.000170833744498,-0.00746158811762531,-9.10753131716,-0.000318510488225,-0.0002745491955768183,3.0166984723e-05,4.00001753691,0.00020217517318298807,3.16558214311e-05,3.50001857933,0.00021152753240285562,0.000147675949075,2.99997396592,0.0030150759039956378
143.924000000,-9.67131229021,-0.000379135796205,-0.008291337678788733,-9.0849749901,-0.000288622910776,0.0005092157152003302,3.08762758386e-05,4.00001801919,0.0002071374039326572,3.23649444763e-05,3.50001906185,0.00021646888043830743,0.00015149694498,2.99997208185,0.003085422287881489
143.977000000,-9.65338222781,-0.000536049217219,-0.009092327172272544,-9.06219394678,-0.000250676276368,0.001191136987003888,3.15855957557e-05,4.00001850145,0.00021210226090289476,3.30740963387e-05,3.50001954434,0.0002214128581177666,0.000149180640346,2.9999742943,0.003148701199601554
144.31000000,-9.63403222104,-0.000672061905624,-0.010094257816104062,-9.03771760853,-0.000304563568076,0.0014255357777108442,3.23495109544e-05,4.00001902079,0.00021745196696407399,3.3837830573e-05,3.50002006393,0.0002267400826346771,0.000152092366024,2.99997388673,0.0032132334212271246
144.82000000,-9.61612157342,-0.000901320964569,-0.011051995207620164,-9.01520688978,-0.000279090276521,0.0014707319331033837,3.30588906932e-05,4.00001950302,0.00022242227839653432,3.45470422898e-05,3.5000205464,0.00023168952193921904,0.000151366252978,2.99997678039,0.0032629489351188984
144.132000000,-9.59969428214,-0.000935744214643,-0.011867648481044497,-8.99447087399,-0.000147308786178,0.0015090609539889649,3.37137283261e-05,4.00001994814,0.00022701258915733198,3.52017248395e-05,3.50002099173,0.00023626056919233917,0.000156120854035,2.99997579637,0.003310037725679791
144.183000000,-9.58215251113,-0.00114235539608,-0.01244679438148128,-8.97263517421,-0.000145607203631,0.0015197718319932974,3.44192048253e-05,4.00002042702,0.00023189443857958873,3.58850194776e-05,3.50002145759,0.00024111680712269034,0.000157731047768,2.99997701412,0.0033607499770918975
144.236000000,-9.56175232608,-0.0013765737132,-0.013369619563377523,-8.94955545354,-5.34937951621e-05,0.0021186583473794436,3.51338111722e-05,4.00002091426,0.00023705877064492646,3.66437126552e-05,3.50002197202,0.0002462696922498055,0.000157013029821,2.99997957866,0.0034112110739902488
144.286000000,-9.54223928883,-0.00165943640985,-0.013557955718943806,-8.92748551682,0.000122136207717,0.002994548410312992,3.58421201471e-05,4.00002139467,0.0002419465534889652,3.73296127326e-05,3.50002243897,0.00025113194756248174,0.000162920138672,2.99997920455,0.003457764560803588
